minimum,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name
191575.69,True,1,a140ca32,2024-09-15_00-04-20,1726358660,4249.959824562073,4249.959824562073,226637,f811e57b1952,172.18.0.2,4249.959824562073,1,
186288.69,True,1,45456397,2024-09-14_23-54-52,1726358092,4199.927392721176,4199.927392721176,13872,f811e57b1952,172.18.0.2,4199.927392721176,1,
188775.04,True,1,08e1eb96,2024-09-14_23-56-54,1726358214,4319.103957414627,4319.103957414627,15100,f811e57b1952,172.18.0.2,4319.103957414627,1,
202179.33,True,1,5d4e3db3,2024-09-14_23-59-32,1726358372,4454.256200313568,4454.256200313568,22649,f811e57b1952,172.18.0.2,4454.256200313568,1,
9e+99,True,1,cc382f86,2024-09-14_23-32-28,1726356748,493.0982809066773,493.0982809066773,555492,f811e57b1952,172.18.0.2,493.0982809066773,1,
9e+99,True,1,2eb5f26f,2024-09-14_23-12-59,1726355579,509.2833001613617,509.2833001613617,383362,f811e57b1952,172.18.0.2,509.2833001613617,1,
183210.48,True,1,7acc4c22,2024-09-14_23-49-46,1726357786,3921.955666542053,3921.955666542053,3377,f811e57b1952,172.18.0.2,3921.955666542053,1,
9e+99,True,1,61e359c4,2024-09-14_23-14-32,1726355672,544.2343692779541,544.2343692779541,399067,f811e57b1952,172.18.0.2,544.2343692779541,1,
9e+99,True,1,381e4a5b,2024-09-14_22-53-08,1726354388,506.53163146972656,506.53163146972656,10135,f811e57b1952,172.18.0.2,506.53163146972656,1,
9e+99,True,1,9c7db611,2024-09-14_23-02-33,1726354953,562.9095885753632,562.9095885753632,216943,f811e57b1952,172.18.0.2,562.9095885753632,1,
9e+99,True,1,ac757299,2024-09-14_22-53-09,1726354389,479.1388945579529,479.1388945579529,20079,f811e57b1952,172.18.0.2,479.1388945579529,1,
9e+99,True,1,2e212b07,2024-09-14_22-55-09,1726354509,494.6793806552887,494.6793806552887,69992,f811e57b1952,172.18.0.2,494.6793806552887,1,
215225.94,True,1,88808a56,2024-09-15_00-24-34,1726359874,4828.046758651733,4828.046758651733,377696,f811e57b1952,172.18.0.2,4828.046758651733,1,
9e+99,True,1,8a5c8c54,2024-09-14_23-20-52,1726356052,560.3473222255707,560.3473222255707,459647,f811e57b1952,172.18.0.2,560.3473222255707,1,
9e+99,True,1,7e78de1b,2024-09-14_23-24-10,1726356250,574.0788106918335,574.0788106918335,490637,f811e57b1952,172.18.0.2,574.0788106918335,1,
9e+99,True,1,24daa34e,2024-09-14_23-09-18,1726355358,510.7993915081024,510.7993915081024,335254,f811e57b1952,172.18.0.2,510.7993915081024,1,
9e+99,True,1,2c23d205,2024-09-14_23-02-42,1726354962,528.9409129619598,528.9409129619598,229762,f811e57b1952,172.18.0.2,528.9409129619598,1,
215405.66,True,1,157e2b7a,2024-09-15_00-11-08,1726359068,5130.354207754135,5130.354207754135,28785,f811e57b1952,172.18.0.2,5130.354207754135,1,
187199.86,True,1,91c24066,2024-09-15_00-04-56,1726358696,4195.001843929291,4195.001843929291,252217,f811e57b1952,172.18.0.2,4195.001843929291,1,
9e+99,True,1,b7f6aa97,2024-09-14_23-28-03,1726356483,531.3156862258911,531.3156862258911,524498,f811e57b1952,172.18.0.2,531.3156862258911,1,
199297.12,True,1,d2799969,2024-09-15_00-03-01,1726358581,4635.963857889175,4635.963857889175,31266,f811e57b1952,172.18.0.2,4635.963857889175,1,
9e+99,True,1,c4b8b32a,2024-09-14_22-53-17,1726354397,491.3071792125702,491.3071792125702,18850,f811e57b1952,172.18.0.2,491.3071792125702,1,
193098.84,True,1,8b1ffffe,2024-09-15_00-26-02,1726359962,3942.9693858623514,3942.9693858623514,529396,f811e57b1952,172.18.0.2,3942.9693858623514,1,
9e+99,True,1,f2142104,2024-09-14_23-18-47,1726355927,563.9989788532257,563.9989788532257,439218,f811e57b1952,172.18.0.2,563.9989788532257,1,
9e+99,True,1,1b4ad5b6,2024-09-14_23-23-04,1726356184,569.6710109710693,569.6710109710693,481901,f811e57b1952,172.18.0.2,569.6710109710693,1,
9e+99,True,1,5d5b4891,2024-09-14_23-02-29,1726354949,549.8332118988037,549.8332118988037,222679,f811e57b1952,172.18.0.2,549.8332118988037,1,
9e+99,True,1,e74aa5a4,2024-09-14_22-53-43,1726354423,520.3468434810638,520.3468434810638,17591,f811e57b1952,172.18.0.2,520.3468434810638,1,
9e+99,True,1,e31a969c,2024-09-14_23-22-08,1726356128,540.7776982784271,540.7776982784271,476776,f811e57b1952,172.18.0.2,540.7776982784271,1,
