minimum,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1478.9481,True,1,fc08e83a,2024-08-05_08-24-22,1722846262,5984.527134656906,5984.527134656906,13236,6220f4e6bb2d,172.18.0.2,5984.527134656906,1
1808.397,True,1,b362666f,2024-08-05_08-47-45,1722847665,7396.82161283493,7396.82161283493,9404,6220f4e6bb2d,172.18.0.2,7396.82161283493,1
1398.865,True,1,9ed717d8,2024-08-05_08-43-06,1722847386,7052.978934526444,7052.978934526444,32741,6220f4e6bb2d,172.18.0.2,7052.978934526444,1
1529.8458,True,1,c445e378,2024-08-05_09-22-38,1722849758,4091.9476487636566,4091.9476487636566,507227,6220f4e6bb2d,172.18.0.2,4091.9476487636566,1
9e+99,True,1,f2b0b3c8,2024-08-05_07-09-39,1722841779,646.0697581768036,646.0697581768036,367004,6220f4e6bb2d,172.18.0.2,646.0697581768036,1
1480.5762,True,1,a9598e4c,2024-08-05_08-30-01,1722846601,6293.248374223709,6293.248374223709,25390,6220f4e6bb2d,172.18.0.2,6293.248374223709,1
1466.8231,True,1,8b60e3c8,2024-08-05_08-03-20,1722845000,4715.488513946533,4715.488513946533,16432,6220f4e6bb2d,172.18.0.2,4715.488513946533,1
1517.6848699999998,True,1,a202468f,2024-08-05_09-01-37,1722848497,3657.301152944565,3657.301152944565,438874,6220f4e6bb2d,172.18.0.2,3657.301152944565,1
1512.5849,True,1,55c19f34,2024-08-05_08-08-22,1722845302,5001.992596387863,5001.992596387863,22658,6220f4e6bb2d,172.18.0.2,5001.992596387863,1
1451.4661,True,1,fbdb10fb,2024-08-05_08-39-17,1722847157,6808.183024644852,6808.183024644852,37170,6220f4e6bb2d,172.18.0.2,6808.183024644852,1
1581.4957,True,1,6e073c4e,2024-08-05_08-57-18,1722848238,7915.685289859772,7915.685289859772,29646,6220f4e6bb2d,172.18.0.2,7915.685289859772,1
1374.785,True,1,9f5860ed,2024-08-05_08-32-38,1722846758,6478.129776000977,6478.129776000977,14436,6220f4e6bb2d,172.18.0.2,6478.129776000977,1
1585.7745000000002,True,1,22d84f7c,2024-08-05_08-09-39,1722845379,5049.999756336212,5049.999756336212,31475,6220f4e6bb2d,172.18.0.2,5049.999756336212,1
1568.67938,True,1,690840ff,2024-08-05_08-19-42,1722845982,5724.877571105957,5724.877571105957,3862,6220f4e6bb2d,172.18.0.2,5724.877571105957,1
1471.6232,True,1,9fc40a49,2024-08-05_09-19-11,1722849551,4244.909347772598,4244.909347772598,469676,6220f4e6bb2d,172.18.0.2,4244.909347772598,1
1338.054,True,1,a3996d41,2024-08-05_09-36-14,1722850574,4308.636378526688,4308.636378526688,575298,6220f4e6bb2d,172.18.0.2,4308.636378526688,1
1571.5084000000002,True,1,b160b291,2024-08-05_09-14-16,1722849256,4242.802493572235,4242.802493572235,447261,6220f4e6bb2d,172.18.0.2,4242.802493572235,1
1539.4119999999998,True,1,aa79917e,2024-08-05_08-38-06,1722847086,6765.539750814438,6765.539750814438,29103,6220f4e6bb2d,172.18.0.2,6765.539750814438,1
